1	0	0	4
2	0	0	4
3	0	0	5
4	0	0	6
5	0	0	6
6	1	0	5
7	0	2	4
8	0	0	7
9	0	0	7
10	0	1	6
11	0	1	6
12	0	2	5
13	0	3	4
14	1	1	6
15	0	0	9
16	0	0	9
17	1	0	8
18	0	0	10
19	0	0	10
20	1	0	9
21	2	0	8
22	0	2	8
23	1	3	6
24	1	0	10
25	0	1	10
26	0	3	8
27	1	0	11
28	2	0	10
29	1	0	12
30	1	0	12
31	2	0	11
32	0	2	11
33	0	7	6
34	0	8	6
35	0	0	15
36	4	5	6
37	1	7	7
38	0	8	7
39	0	10	5
40	1	4	11
41	4	6	6
42	1	9	6
43	5	0	12
44	6	0	11
45	9	2	6
46	2	4	11
47	0	5	12
48	10	0	8
49	5	1	12
50	5	3	10
51	3	5	10
52	1	7	10
53	2	7	9
54	2	11	6
55	6	0	14
56	2	9	9
57	0	11	9
58	0	13	7
59	13	0	8
60	2	5	14
61	4	5	12
62	2	6	13
63	0	14	7
64	0	15	6
65	0	14	8
66	1	15	6
67	10	0	13
68	6	1	16
69	10	1	12
70	15	1	7
71	8	2	13
72	4	7	12
73	4	7	12
74	12	0	12
75	7	1	16
76	8	1	15
77	10	3	11
78	2	5	17
79	6	8	10
80	3	13	8
81	0	15	9
82	0	15	9
83	0	15	9
84	1	15	8
85	1	16	7
86	10	0	15
87	8	1	16
88	8	1	16
89	9	6	10
90	6	9	10
91	7	11	7
92	0	15	10
93	0	16	9
94	1	16	8
95	8	1	17
96	8	3	15
97	6	6	14
98	1	1	25
99	10	2	15
100	10	3	14
101	5	8	14
102	9	10	8
103	8	0	20
104	12	5	11
105	12	6	10
106	4	8	16
107	5	15	8
108	0	19	9
109	1	20	7
110	8	0	21
111	8	0	21
112	11	3	15
113	12	3	14
114	1	20	8
115	8	2	20
116	6	13	11
117	0	20	10
118	5	10	16
119	1	11	19
120	3	11	17
121	0	15	16
122	2	16	13
123	1	19	11
124	1	20	10
125	0	25	6
126	7	17	8
127	0	26	6
128	22	4	7
129	11	5	17
130	12	5	16
131	7	15	11
132	1	20	12
133	3	0	31
134	19	3	12
135	1	21	12
136	5	12	18
137	0	28	7
138	15	3	18
139	7	6	23
140	2	10	24
141	1	14	21
142	0	21	15
143	3	23	10
144	16	5	16
145	8	15	14
146	4	22	11
147	15	1	22
148	8	16	14
149	3	23	12
150	3	26	9
151	12	0	27
152	5	3	31
153	5	3	31
154	8	10	21
155	5	25	9
156	3	7	31
157	3	7	31
158	13	10	18
159	5	17	19
160	7	22	12
161	16	0	26
162	17	10	15
163	19	1	23
164	4	20	19
165	4	20	19
166	16	7	21
167	16	7	21
168	4	9	31
169	11	16	17
170	7	18	20
171	13	21	11
172	0	27	18
173	4	28	13
174	20	3	23
175	15	17	14
176	2	34	10
177	16	11	21
178	5	30	13
179	1	36	12
180	16	15	19
181	15	7	29
182	14	10	28
183	3	34	15
184	8	33	15
185	4	35	17
186	0	37	19
187	16	18	24
188	18	32	8
189	11	34	16
190	35	0	27
191	23	20	19
192	14	18	31
193	12	34	17
194	6	37	20
195	3	41	19
196	20	33	11
197	14	39	11
198	7	47	10
199	7	26	32
200	27	6	33
201	12	22	32
202	25	23	20
203	25	23	20
204	26	23	19
205	26	23	19
206	26	23	19
207	26	23	19
208	8	42	18
209	26	23	20
210	26	23	20
211	26	23	20
212	26	23	20
213	32	0	38
214	27	23	20
215	27	23	20
216	27	23	20
217	30	22	19
218	28	23	20
219	28	23	21
220	28	31	14
221	38	1	35
222	28	22	24
223	27	24	23
224	27	24	23
225	28	24	22
226	28	24	22
227	28	24	22
228	28	25	21
229	29	22	24
230	29	22	24
231	0	58	17
232	38	10	28
233	20	24	33
234	11	44	22
235	11	55	12
236	25	43	12
237	17	31	33
238	14	1	67
239	8	60	15
240	6	56	22
241	1	60	26
242	4	65	18
243	24	52	14
244	44	38	10
245	0	85	7
246	19	57	19
247	12	69	14
248	4	85	7
249	19	55	25
250	24	59	17
251	8	85	22
252	20	70	43
253	18	105	24
254	57	56	36
255	11	111	31
256	79	67	31
257	32	141	12
258	48	117	23
259	15	157	19
260	37	166	37
