Ren	5.3 	3.1 	5.3 	3.1 
Arn	10.0 	3.2 	10.0 	3.2 
Bic	26.0 	8.6 	25.2 	8.3 
Esn	28.0 	7.5 	27.7 	7.4 
Lat	29.1 	6.8 	28.7 	6.7 
Col	85.5 	10.1 	61.0 	7.2 
Clt	343.4 	30.1 	223.8 	19.6 
Usc	2712.4 	207.0 	1958.2 	149.4 
Cog	3600.0 	360.0 	2036.1 	203.6 
