k=1	0.41	0.4
k=2	0.44	0.4
k=3	0.42	0.41
k=1	0.45	0.41
k=2	0.46	0.41
k=3	0.48	0.41
k=1	0.54	0.48
k=2	0.54	0.49
k=3	0.81	0.47
